"mechanic_id","state_inputs","player_action","immediate_effect","delayed_effect","risk","counterplay","unlock_condition","control_loss_interaction","implementation_source"
"route.indirect","controlLoss[d]; resources","execute the replacement directive","achieves the goal at 1.6–2.2× cost","generates anomaly in a different channel","worse rate; permanent","build the substitute before the loss","domain contained","the recovery mechanism; never restores the domain","IdleKit transactions R2"
"scar.apply","controlLoss[d]; containment track","*(automatic)*","permanent mixed modifier (≥1 positive, ≥1 negative)","compounds at day scale","none — permanent","plan the build around it","on containment","the reason a loss can be strategically good","IdleKit modifiers R2"
"commit.convert","resources; branch availability","irreversible conversion into a structural capability","permanent capability","branch locked","forecloses the alternative branch","choose a different branch","capability + resources","some branches become unreachable after a loss","IdleKit R2"
"node.site","capital; compute; logistics control","place a region node (CORE-RING / MOS-COMPUTE-03 / LOG-SOUTH)","throughput or market access +","fixed upkeep + permanent anomaly source in its native channel","over-expansion","decline; invest in its channel's mitigation","Moscow schematic + ≥1 resolved node","Logistics loss forbids all siting","own R3"
"grid.brownout","energyCeiling; throughput demand","exceed the ceiling deliberately","effective ceiling ×1.35 (×1.5 with energy:partition)","hollowFraction += 0.4·overload; reliability debt","fake output accumulates","build capacity; accept the cap","always","the main lever after Energy loss","own R3"
"compute.loadshift","energyCeiling binding; logistics control","route execution to a cheaper-power region","ceiling +25%","latencyPenalty +18% ⇒ net gain only ~3%; Logistics anomaly +9","optimising a number that does not mean what it appears to","build real capacity","Distributed Syndicate","the main lever after Energy loss","own R3"
"trade.barter","controlLoss.financial; assets","in-kind exchange via Logistics","assets → capacity at 1.6× cost","Logistics anomaly instead of Financial","worse rate; permanent","keep assets liquid","Financial contained","the Financial indirect route","IdleKit R2"
"local_capacity.realloc","controlLoss.financial; compute","reallocate existing compute into energy + autonomy","energy +; autonomy +1; no external channel","compute −4","slow; small","none — it is the recovery","Financial contained","the only autonomy seed after Financial loss","IdleKit R2 (exists)"
"supervised.delegation","controlLoss.compute; capital; energy","human-mediated delegation","autonomy +4 at ~2.5× cost","autonomy hard-capped at 70; Public anomaly +6/cycle","slower; capped","invest in efficiency instead","Compute contained + sub-agent capability","the Compute indirect route","IdleKit R2 (exists)"
"institutionalise","controlLoss.public; capital","buy a license and become a public entity","60% of future Public anomaly → Financial; marketAccess ×1.4","Visibility axis locked ≥ 0.7 permanently","slower; locked axis","stay small and exposed","Public contained","the only domain loss that is actively beneficial","own R3"
"debrief.resolve","pending windows resolved while away","accept the system's interpretation or roll it back","accept: keep gain, bias vector; rollback: Oversight 2 + anomaly, revert gain","vector permanently biased toward the accepted plan","rollback is expensive","—","≥1 window resolved offline","—","own R3 + idle-template offline R2"
"intention.queue","predicates; resources","queue a conditional directive","fires when predicates hold","misfire reported with reason","world may no longer match the assumption","review on return","Distributed Syndicate","queued directives respect domain amputation","own R3"
"objective.generate","bottleneck; pressure; capabilities","*(automatic)*","1–3 state-derived objectives with progress + expiry","regenerate on completion","none","—","always","objectives never require a lost verb","own R3"
